Filename,Codec,Param,Ratio,Comp_Time,Decomp_Time,Vol_RRMSE,Vol_PSNR,Vol_SSIM,Vol_LPIPS,RSOS_RRMSE,RSOS_PSNR,RSOS_SSIM,RSOS_LPIPS
fs_0045_3T.h5,jpeg,20,146.1876979174483,29.761573553085327,11.99572229385376,0.17590871952625517,52.82361327718099,0.9720932984670003,0.0026411297984421252,0.13136854033209522,40.0925830078125,0.9001156363487244,0.004172269523143768
fs_0045_3T.h5,jpeg,35,108.25792818431349,24.352604866027832,12.162676095962524,0.13244484504372384,54.558336295572914,0.9877100747426351,0.0019486489554246267,0.09650437019146489,42.771770965576174,0.9641125416755676,0.0029062029719352724
fs_0045_3T.h5,jpeg,50,86.05763199273159,23.815801858901978,12.245421886444092,0.11280208544172607,55.56570487263998,0.9928090212504069,0.0015670447528051833,0.08191844695404782,44.19506915283203,0.9785518779754638,0.002290611296892166
fs_0045_3T.h5,jpeg,65,66.26387717593018,23.766466856002808,12.441534757614136,0.0995460561608501,56.481043499755856,0.9942186550458272,0.0012325410736414293,0.0704757444440398,45.501893768310545,0.9822467017173767,0.0017900708615779877
fs_0045_3T.h5,jpeg,80,43.31513481683844,23.853020429611206,12.608120441436768,0.08117783452199404,58.01679342651367,0.9964279772440593,0.0008203769370059794,0.05471860880986123,47.699880828857424,0.9877794165611267,0.0011453860104084015
fs_0045_3T.h5,jpeg2000,20,40.95346516695851,200.67537307739258,35.92257905006409,0.04531282539300165,61.36741477864583,0.9972094329833985,0.0003151073080487549,0.021929588482610694,55.64227423095703,0.9835599355697632,0.00011616064608097076
fs_0045_3T.h5,jpeg2000,35,71.68164226169927,199.2411527633667,31.479928016662598,0.057569177003266525,59.35424908040365,0.994672184530894,0.0007991612756314377,0.03351936288154834,51.9566081237793,0.9639440317153931,0.0003618174009025097
fs_0045_3T.h5,jpeg2000,50,101.89620822798197,200.17814445495605,29.553380250930786,0.066147811645375,58.246385375976566,0.9933863295237223,0.0012042847848807773,0.04095245723374346,50.21693856811523,0.9544650139808655,0.0007422167956829071
fs_0045_3T.h5,jpeg2000,65,131.79580008306226,198.60277032852173,28.373730897903442,0.07413424494865922,57.3813608601888,0.9924950780550639,0.0015472820453345775,0.04773257438218602,48.88625936889648,0.9497067165374756,0.0011848011016845704
fs_0045_3T.h5,jpeg2000,80,161.70486203376015,199.18533515930176,27.59793782234192,0.08209503040331746,56.634405143229166,0.9917394165992737,0.001859956079473098,0.05439539142817303,47.75136904907227,0.9477818398475647,0.0016421674340963363
fs_0045_3T.h5,h264,23,78.21072203583122,218.1088125705719,120.1600182056427,0.06918613735198226,59.105925657145185,0.9947746370633443,0.0007323388987996926,0.04037953277743614,50.34998327636719,0.9797043786048889,0.0006123355776071548
fs_0045_3T.h5,h264,29,487.9868315310765,197.31034517288208,114.42719650268555,0.09448823394721338,56.123802416992184,0.9914391743659973,0.0014782933956943452,0.06664703484075021,45.989659454345706,0.9505908274650574,0.0016346848011016845
fs_0045_3T.h5,h264,36,1903.4546362402793,193.98548650741577,103.7293872833252,0.13294833874613868,53.763443957519534,0.9883306217193604,0.0024363194217284522,0.10061847219093967,42.411747680664064,0.9505192542076111,0.0033088771402835847
fs_0045_3T.h5,h264,42,2236.694794467819,193.96355628967285,100.33223676681519,0.18159509997495404,51.721903643798825,0.9825607220649719,0.0032700298354029654,0.14162389369312103,39.442106842041014,0.9478474202156066,0.004968718349933624
fs_0045_3T.h5,h264,48,2399.7137729762903,194.5888488292694,96.914870262146,0.2596742827469556,49.30911744791667,0.9613209063212077,0.004157055816302697,0.20576463674430248,36.195628997802736,0.8680245490074158,0.006997289836406708
fs_0045_3T.h5,h265,23,91.79745695046887,287.0126266479492,139.34557032585144,0.06746775542159299,59.04371365966797,0.9945542952219645,0.0007821239697746933,0.04125584704236357,50.1608874206543,0.9719247522354126,0.0006672262623906135
fs_0045_3T.h5,h265,29,353.36750766595566,254.32933473587036,131.08793234825134,0.08960354277801524,56.534151747639974,0.9919027913093567,0.0013606057782967885,0.06239303863966272,46.56731546020508,0.9508563532829285,0.0015318328440189362
fs_0045_3T.h5,h265,36,1093.4357695407482,235.3881962299347,117.6536512374878,0.1255594754784723,54.11720293986003,0.9885906929969788,0.0022762459866702556,0.09324411253188572,43.078808654785156,0.9438915252685547,0.0032010038793087005
fs_0045_3T.h5,h265,42,1225.1759640596385,233.0686159133911,113.3672866821289,0.16947636032938695,52.061676151529944,0.9836675357500712,0.0031611868113279344,0.130009284462979,40.1897802734375,0.9434339237213135,0.004904531002044678
fs_0045_3T.h5,h265,48,1270.9212558509894,234.21594166755676,105.85307621955872,0.23506363122234705,49.75799962768555,0.9728589943885804,0.004114988821496566,0.18723193276000794,37.01705532836914,0.9186481676101684,0.007120452523231506
